지점,지점명,일시,10CM 일 토양수분(%),평균 기온(°C),평균 지면온도(°C),일 순복사(MJ/m2),위도,경도,평균 습도(%),평균 풍속(m/s)
980,강정,2008-07-10,25.0,27.0,31.6,,33.25992,126.48917,75.33333333333333,0.6000000000000001
980,강정,2008-07-11,24.0,27.3,31.0,12.06,33.25992,126.48917,78.33333333333333,0.8
980,강정,2008-07-12,24.0,27.2,30.1,8.98,33.25992,126.48917,86.0,0.65
980,강정,2008-07-13,23.0,27.9,31.5,12.75,33.25992,126.48917,83.0,1.25
980,강정,2008-07-14,23.0,28.6,33.6,15.7,33.25992,126.48917,80.0,0.65
980,강정,2008-07-15,22.0,28.9,35.6,15.65,33.25992,126.48917,76.33333333333333,0.9
980,강정,2008-07-16,21.0,29.0,35.9,16.93,33.25992,126.48917,72.33333333333333,0.75
980,강정,2008-07-17,20.0,28.9,36.1,16.84,33.25992,126.48917,74.33333333333333,1.2
980,강정,2008-07-18,19.0,29.6,35.4,14.1,33.25992,126.48917,74.66666666666667,0.8500000000000001
980,강정,2008-07-19,18.0,29.1,35.2,10.98,33.25992,126.48917,82.33333333333333,1.45
980,강정,2008-07-20,17.0,27.4,31.2,6.23,33.25992,126.48917,83.0,2.1500000000000004
980,강정,2008-07-21,17.0,27.1,33.2,14.77,33.25992,126.48917,80.33333333333333,1.75
980,강정,2008-07-22,17.0,27.8,33.5,14.18,33.25992,126.48917,74.66666666666667,1.0
980,강정,2008-07-23,16.0,29.0,34.2,13.86,33.25992,126.48917,78.33333333333333,0.95
980,강정,2008-07-24,15.0,29.2,36.1,14.54,33.25992,126.48917,79.33333333333333,1.15
980,강정,2009-04-25,25.0,14.7,18.2,15.96,33.25992,126.48917,58.66666666666666,2.15
980,강정,2009-04-26,24.0,12.2,15.4,15.93,33.25992,126.48917,49.333333333333336,3.1500000000000004
980,강정,2009-04-27,24.0,14.1,16.4,12.77,33.25992,126.48917,38.66666666666666,1.75
980,강정,2009-04-28,23.0,17.1,19.3,14.23,33.25992,126.48917,28.0,1.75
980,강정,2009-04-29,22.0,16.7,20.6,,33.25992,126.48917,35.333333333333336,1.15
980,강정,2009-04-30,22.0,16.5,21.5,13.22,33.25992,126.48917,47.333333333333336,1.25
980,강정,2009-05-01,21.0,18.3,23.1,13.76,33.25992,126.48917,60.0,1.25
980,강정,2009-05-02,20.0,19.4,21.3,7.37,33.25992,126.48917,65.33333333333333,0.8
980,강정,2009-05-03,20.0,18.8,22.1,11.12,33.25992,126.48917,72.66666666666667,1.25
980,강정,2009-05-04,20.0,18.2,24.4,14.55,33.25992,126.48917,73.0,1.05
980,강정,2009-05-05,19.0,18.9,24.7,14.61,33.25992,126.48917,59.0,0.9
980,강정,2009-05-06,18.0,19.5,25.5,,33.25992,126.48917,55.333333333333336,0.7
980,강정,2009-05-07,18.0,22.4,26.3,15.17,33.25992,126.48917,29.666666666666668,1.35
980,강정,2009-05-08,17.0,22.9,26.1,13.93,33.25992,126.48917,22.0,1.15
980,강정,2009-05-09,16.0,22.1,26.1,14.96,33.25992,126.48917,31.666666666666668,1.35
980,강정,2009-05-10,15.0,21.4,27.4,15.45,33.25992,126.48917,47.0,1.5499999999999998
980,강정,2011-08-30,25.0,26.5,29.8,17.13,33.25992,126.48917,77.0,1.25
980,강정,2011-08-31,24.0,26.4,29.0,16.46,33.25992,126.48917,67.0,1.05
980,강정,2011-09-01,23.0,27.0,30.4,15.57,33.25992,126.48917,73.33333333333333,0.75
980,강정,2011-09-02,22.0,27.1,29.5,15.82,33.25992,126.48917,68.33333333333333,0.85
980,강정,2011-09-03,20.0,27.1,30.9,16.45,33.25992,126.48917,68.0,1.1
980,강정,2011-09-04,19.0,26.4,29.9,15.41,33.25992,126.48917,62.66666666666666,1.05
980,강정,2011-09-05,18.0,25.7,29.5,15.78,33.25992,126.48917,62.66666666666666,1.2
980,강정,2011-09-06,16.0,24.0,27.6,14.28,33.25992,126.48917,55.66666666666666,1.25
980,강정,2011-09-07,15.0,23.8,27.9,15.25,33.25992,126.48917,65.33333333333333,1.2
980,강정,2012-05-29,25.0,20.8,29.3,14.62,33.25992,126.48917,71.0,1.3
980,강정,2012-05-30,24.0,20.9,21.9,8.05,33.25992,126.48917,68.66666666666667,1.85
980,강정,2012-05-31,23.0,20.9,23.8,15.03,33.25992,126.48917,62.333333333333336,2.0
980,강정,2012-06-01,22.0,21.7,27.5,14.57,33.25992,126.48917,60.66666666666666,1.4
980,강정,2012-06-02,21.0,20.6,23.3,7.39,33.25992,126.48917,68.66666666666667,1.8
980,강정,2012-06-03,21.0,21.3,26.4,14.41,33.25992,126.48917,65.0,1.65
980,강정,2012-06-04,20.0,22.2,25.7,7.2,33.25992,126.48917,73.0,1.3
980,강정,2012-06-05,20.0,21.6,23.9,9.79,33.25992,126.48917,78.66666666666667,1.2
980,강정,2012-06-06,19.0,21.8,25.0,11.39,33.25992,126.48917,78.33333333333333,1.05
980,강정,2012-06-07,19.0,20.8,24.1,8.91,33.25992,126.48917,81.33333333333333,1.2
980,강정,2012-06-08,18.0,22.1,24.5,7.67,33.25992,126.48917,88.66666666666667,0.8999999999999999
980,강정,2012-06-09,18.0,22.2,28.7,13.76,33.25992,126.48917,83.66666666666667,0.8999999999999999
980,강정,2012-06-10,18.0,22.4,31.0,15.51,33.25992,126.48917,77.0,1.7000000000000002
980,강정,2012-06-11,17.0,22.2,26.3,8.46,33.25992,126.48917,79.0,1.4500000000000002
980,강정,2012-06-12,16.0,22.7,27.3,8.51,33.25992,126.48917,79.0,0.95
980,강정,2012-06-13,16.0,23.1,30.3,14.47,33.25992,126.48917,77.0,1.7000000000000002
980,강정,2012-06-14,15.0,22.8,34.2,13.0,33.25992,126.48917,79.0,2.05
980,강정,2012-07-25,25.0,27.9,34.7,17.92,33.25992,126.48917,81.0,0.9
980,강정,2012-07-26,23.0,28.2,33.8,17.14,33.25992,126.48917,78.0,1.05
980,강정,2012-07-27,22.0,28.3,32.6,18.26,33.25992,126.48917,86.33333333333333,0.8
980,강정,2012-07-28,21.0,28.9,30.9,12.6,33.25992,126.48917,82.0,0.9
980,강정,2012-07-29,19.0,29.3,35.6,18.7,33.25992,126.48917,77.33333333333333,0.95
980,강정,2012-07-30,18.0,29.7,36.5,18.11,33.25992,126.48917,76.0,1.05
980,강정,2012-07-31,17.0,29.7,28.8,17.66,33.25992,126.48917,70.66666666666667,1.4500000000000002
980,강정,2012-08-01,15.0,30.2,33.9,18.33,33.25992,126.48917,64.66666666666667,3.05
980,강정,2013-07-09,25.0,25.6,31.2,,33.25992,126.48917,90.0,1.65
