지점,지점명,일시,10CM 일 토양수분(%),평균 기온(°C),평균 지면온도(°C),일 순복사(MJ/m2),위도,경도,평균 습도(%),평균 풍속(m/s),지난 일 수,Target
980,강정,2008-07-10,25,27,31.6,,33.25992,126.48917,75.33333333,0.6,0,FALSE
980,강정,2008-07-11,24,27.3,31,12.06,33.25992,126.48917,78.33333333,0.8,1,FALSE
980,강정,2008-07-12,24,27.2,30.1,8.98,33.25992,126.48917,86,0.65,2,FALSE
980,강정,2008-07-13,23,27.9,31.5,12.75,33.25992,126.48917,83,1.25,3,FALSE
980,강정,2008-07-14,23,28.6,33.6,15.7,33.25992,126.48917,80,0.65,4,FALSE
980,강정,2008-07-15,22,28.9,35.6,15.65,33.25992,126.48917,76.33333333,0.9,5,FALSE
980,강정,2008-07-16,21,29,35.9,16.93,33.25992,126.48917,72.33333333,0.75,6,FALSE
980,강정,2008-07-17,20,28.9,36.1,16.84,33.25992,126.48917,74.33333333,1.2,7,FALSE
980,강정,2008-07-18,19,29.6,35.4,14.1,33.25992,126.48917,74.66666667,0.85,8,FALSE
980,강정,2008-07-19,18,29.1,35.2,10.98,33.25992,126.48917,82.33333333,1.45,9,FALSE
980,강정,2008-07-20,17,27.4,31.2,6.23,33.25992,126.48917,83,2.15,10,FALSE
980,강정,2008-07-21,17,27.1,33.2,14.77,33.25992,126.48917,80.33333333,1.75,11,FALSE
980,강정,2008-07-22,17,27.8,33.5,14.18,33.25992,126.48917,74.66666667,1,12,FALSE
980,강정,2008-07-23,16,29,34.2,13.86,33.25992,126.48917,78.33333333,0.95,13,FALSE
980,강정,2008-07-24,15,29.2,36.1,14.54,33.25992,126.48917,79.33333333,1.15,14,TRUE
980,강정,2009-04-25,25,14.7,18.2,15.96,33.25992,126.48917,58.66666667,2.15,0,FALSE
980,강정,2009-04-26,24,12.2,15.4,15.93,33.25992,126.48917,49.33333333,3.15,1,FALSE
980,강정,2009-04-27,24,14.1,16.4,12.77,33.25992,126.48917,38.66666667,1.75,2,FALSE
980,강정,2009-04-28,23,17.1,19.3,14.23,33.25992,126.48917,28,1.75,3,FALSE
980,강정,2009-04-29,22,16.7,20.6,,33.25992,126.48917,35.33333333,1.15,4,FALSE
980,강정,2009-04-30,22,16.5,21.5,13.22,33.25992,126.48917,47.33333333,1.25,5,FALSE
980,강정,2009-05-01,21,18.3,23.1,13.76,33.25992,126.48917,60,1.25,6,FALSE
980,강정,2009-05-02,20,19.4,21.3,7.37,33.25992,126.48917,65.33333333,0.8,7,FALSE
980,강정,2009-05-03,20,18.8,22.1,11.12,33.25992,126.48917,72.66666667,1.25,8,FALSE
980,강정,2009-05-04,20,18.2,24.4,14.55,33.25992,126.48917,73,1.05,9,FALSE
980,강정,2009-05-05,19,18.9,24.7,14.61,33.25992,126.48917,59,0.9,10,FALSE
980,강정,2009-05-06,18,19.5,25.5,,33.25992,126.48917,55.33333333,0.7,11,FALSE
980,강정,2009-05-07,18,22.4,26.3,15.17,33.25992,126.48917,29.66666667,1.35,12,FALSE
980,강정,2009-05-08,17,22.9,26.1,13.93,33.25992,126.48917,22,1.15,13,FALSE
980,강정,2009-05-09,16,22.1,26.1,14.96,33.25992,126.48917,31.66666667,1.35,14,FALSE
980,강정,2009-05-10,15,21.4,27.4,15.45,33.25992,126.48917,47,1.55,15,TRUE
980,강정,2011-08-30,25,26.5,29.8,17.13,33.25992,126.48917,77,1.25,0,FALSE
980,강정,2011-08-31,24,26.4,29,16.46,33.25992,126.48917,67,1.05,1,FALSE
980,강정,2011-09-01,23,27,30.4,15.57,33.25992,126.48917,73.33333333,0.75,2,FALSE
980,강정,2011-09-02,22,27.1,29.5,15.82,33.25992,126.48917,68.33333333,0.85,3,FALSE
980,강정,2011-09-03,20,27.1,30.9,16.45,33.25992,126.48917,68,1.1,4,FALSE
980,강정,2011-09-04,19,26.4,29.9,15.41,33.25992,126.48917,62.66666667,1.05,5,FALSE
980,강정,2011-09-05,18,25.7,29.5,15.78,33.25992,126.48917,62.66666667,1.2,6,FALSE
980,강정,2011-09-06,16,24,27.6,14.28,33.25992,126.48917,55.66666667,1.25,7,FALSE
980,강정,2011-09-07,15,23.8,27.9,15.25,33.25992,126.48917,65.33333333,1.2,8,TRUE
980,강정,2012-05-29,25,20.8,29.3,14.62,33.25992,126.48917,71,1.3,0,FALSE
980,강정,2012-05-30,24,20.9,21.9,8.05,33.25992,126.48917,68.66666667,1.85,1,FALSE
980,강정,2012-05-31,23,20.9,23.8,15.03,33.25992,126.48917,62.33333333,2,2,FALSE
980,강정,2012-06-01,22,21.7,27.5,14.57,33.25992,126.48917,60.66666667,1.4,3,FALSE
980,강정,2012-06-02,21,20.6,23.3,7.39,33.25992,126.48917,68.66666667,1.8,4,FALSE
980,강정,2012-06-03,21,21.3,26.4,14.41,33.25992,126.48917,65,1.65,5,FALSE
980,강정,2012-06-04,20,22.2,25.7,7.2,33.25992,126.48917,73,1.3,6,FALSE
980,강정,2012-06-05,20,21.6,23.9,9.79,33.25992,126.48917,78.66666667,1.2,7,FALSE
980,강정,2012-06-06,19,21.8,25,11.39,33.25992,126.48917,78.33333333,1.05,8,FALSE
980,강정,2012-06-07,19,20.8,24.1,8.91,33.25992,126.48917,81.33333333,1.2,9,FALSE
980,강정,2012-06-08,18,22.1,24.5,7.67,33.25992,126.48917,88.66666667,0.9,10,FALSE
