ÁöÁ¡,ÁöÁ¡¸í,ÀÏ½Ã,0.5M Æò±Õ ½Àµµ(%),1.5M Æò±Õ ½Àµµ(%),4.0M Æò±Õ ½Àµµ(%),10CM ÀÏ Åä¾ç¼öºÐ(%),20CM ÀÏ Åä¾ç¼öºÐ(%),30CM ÀÏ Åä¾ç¼öºÐ(%),50CM ÀÏ Åä¾ç¼öºÐ(%),´ëÇüÁõ¹ß·®(mm),¼ÒÇüÁõ¹ß·®(mm),0.5M Æò±Õ ±â¿Â(¡ÆC),1.5M Æò±Õ ±â¿Â(¡ÆC),4.0M Æò±Õ ±â¿Â(¡ÆC),1.5M Æò±Õ Ç³¼Ó(m/s),4.0M Æò±Õ Ç³¼Ó(m/s),Æò±Õ Áö¸é¿Âµµ(¡ÆC),ÃÖÀú ÃÊ»ó¿Âµµ(¡ÆC),5CM Æò±Õ ÁöÁß¿Âµµ(¡ÆC),30CM Æò±Õ ÁöÁß¿Âµµ(¡ÆC),0.5M ÀÏ ÁöÁß¿Âµµ(¡ÆC),1.0M ÀÏ ÁöÁß¿Âµµ(¡ÆC),1.5M ÀÏ ÁöÁß¿Âµµ(¡ÆC),3.0M ÀÏ ÁöÁß¿Âµµ(¡ÆC),5.0M ÀÏ ÁöÁß¿Âµµ(¡ÆC),ÀÏ ¼øº¹»ç(MJ/m2),ÀÏ ÀüÃµº¹»ç(MJ/m2),ÀÏ ¹Ý»çº¹»ç(MJ/m2),ÀÏ Æò±Õ Á¶µµ(10lux),ÀÏ ÁöÇÏ¼öÀ§(cm)
119,¼ö¿ø(³ó),2019-01-01,57,54,57,2,4,8,19,,,95.6,-4.3,95.8,0.6,0.9,-3,,-1.4,0.1,2.5,6.4,,,,10.09,12.23,2.14,671.9,3052.5
119,¼ö¿ø(³ó),2019-01-02,55,52,54,2,4,7,19,,,81.7,-5.6,82.2,0.3,0.6,-3.9,,-1.8,-0.1,2.4,6.2,,,,12.69,15.3,2.61,970.1,3049.7
119,¼ö¿ø(³ó),2019-01-03,47,43,47,2,4,6,18,,,70.8,-3.8,71.5,0.1,0.4,-3.7,,-1.9,-0.3,2.2,6.1,,,,13.03,15.83,2.8,997.2,3048.9
119,¼ö¿ø(³ó),2019-01-04,68,65,64,2,4,6,18,,,59.6,-2.6,60.2,0.1,0.3,-2.6,,-1.6,-0.3,2.1,5.9,,,,6.73,8.5,1.77,544.8,3051.1
119,¼ö¿ø(³ó),2019-01-05,40,39,41,2,4,6,18,,,72.3,-2.5,85.3,0.4,0.8,-2.8,,-1.3,-0.3,2.1,5.8,,,,12.2,15.13,2.93,954.2,3051.2
119,¼ö¿ø(³ó),2019-01-06,48,46,48,2,4,6,18,,,71,-3.8,84.1,0.1,0.6,-3,,-1.6,-0.4,2,5.7,,,,12.26,14.89,2.63,960.5,3049.7
119,¼ö¿ø(³ó),2019-01-07,68,66,64,2,4,6,18,,,59.5,-2.7,59.9,0.3,0.4,-2.6,,-1.6,-0.4,1.9,5.6,,,,10.09,12.56,2.47,817.9,3049.2
119,¼ö¿ø(³ó),2019-01-08,40,36,40,2,4,6,18,,,71.8,-3,72.2,0.8,1.3,-3.1,,-1.4,-0.4,1.9,5.5,,,,12.92,15.83,2.91,996.8,3049.9
119,¼ö¿ø(³ó),2019-01-09,33,30,35,2,4,6,18,,,83,-4.4,95.8,0.3,0.5,-3.8,,-2,-0.6,1.8,5.3,,,,11.19,13.71,2.52,862.8,3046.1
119,¼ö¿ø(³ó),2019-01-10,51,50,52,2,4,6,18,,,73.8,-1.1,73.9,0.2,0.6,-1.3,,-1.1,-0.5,1.8,5.2,,,,5.43,6.96,1.53,523.8,3050.9
119,¼ö¿ø(³ó),2019-01-11,63,61,63,7,5,6,18,,,27.3,2.5,15,0.2,0.4,-0.1,,-0.5,-0.3,1.8,5.2,,,,8.84,11.32,2.48,838.3,3048.5
119,¼ö¿ø(³ó),2019-01-12,58,55,58,6,5,7,18,,,14.6,2.3,15,0.3,0.5,0.5,,-0.2,-0.2,1.7,5.1,,,,8.43,10.81,2.38,715.5,3052.1
119,¼ö¿ø(³ó),2019-01-13,71,70,67,3,5,8,19,,,49.8,0.1,50.3,0.3,0.5,-0.4,,-0.2,-0.1,1.7,5,,,,11.25,14.05,2.8,908.7,3048.3
119,¼ö¿ø(³ó),2019-01-14,81,81,77,6,5,8,19,,,49.7,-0.1,37.7,0.2,0.3,-0.2,,-0.2,-0.1,1.7,4.9,,,,5.32,7.1,1.78,558.2,3048.7
119,¼ö¿ø(³ó),2019-01-15,57,55,58,3,6,9,19,,,49,-0.9,49,0.9,1.4,-0.3,,-0.2,-0.1,1.7,4.9,,,,8.1,10.06,1.96,570.6,3049.3
119,¼ö¿ø(³ó),2019-01-16,42,41,45,2,4,9,19,,,95.6,-4.5,95.4,0.6,1,-2.6,,-1,-0.1,1.7,4.9,,,,12.44,15.03,2.59,991.4,3046.6
119,¼ö¿ø(³ó),2019-01-17,56,54,54,2,5,9,19,,,61.6,-0.6,62,0.5,0.8,-1,,-0.6,-0.1,1.8,4.8,,,,12.45,15.47,3.02,1076.7,3047.6
119,¼ö¿ø(³ó),2019-01-18,62,59,59,2,4,9,19,,,61.6,-0.6,62.2,0.1,0.4,-1.7,,-0.8,-0.1,1.7,4.8,,,,11.73,14.67,2.94,991.8,3044.6
119,¼ö¿ø(³ó),2019-01-19,66,61,62,3,5,9,19,,,27.1,2.4,27.5,0.2,0.3,-0.1,,-0.3,0,1.7,4.8,,,,9.12,11.67,2.55,808.9,3047.9
119,¼ö¿ø(³ó),2019-01-20,39,37,41,4,6,10,19,,,49.7,-0.3,49.6,1,1.6,-0.4,,-0.1,0,1.7,4.7,,,,14.15,17.39,3.24,1082,3045.8
